	Glycerin,C3H8O3
	hydrogen-peroxide,H2O2
	hypochlorous-acid,HClO
	magnesium-nitrate,Mg(NO3)2
	potassium-nitrate,KNO3
       cobalt-acetate,C4H6CoO4
acetic-acid,CH3COOH
aluminium,Al
aluminium-hydroxide,Al2(OH)3
aluminium-oxide,Al2O3
aluminium-sulfate,Al2(SO4)3
aluminum-oxide,Al2O3
ammonia,NH3
ammonium,NH4
ammonium-chloride,NH4Cl
ammonium-fluoride,NH4F
ammonium-hydroxide,NH4OH
ammonium-nitrate,NH4NO3
ammonium-phosphate,(NH4)3PO4
barium-hydroxide,Ba(OH)2
barium-nitrate,Ba(NO3)2
beryllium-chloride,BeCl2
beryllium-hydroxide,Be(OH)2
beryllium-oxide,BeO
butane,C4H10
butene,C4H8
calcium,Ca
calcium chloride,CaCl2
calcium-bicarbonate,Ca(HCO3)2
calcium-carbonate,CaCO3
calcium-hydroxide,Ca(OH)2
calcium-nitrate,Ca(NO3)2
calcium-oxide,CaO
calcium-sulphate,CaSO4
carbon,C
carbon-dioxide,CO2
carbon-disulphide,CS2
carbon-monoxide,CO
carbon-tetrachloride,CCl4
carbonic-acid,H2CO3
chromium sulfate,Cr2(SO4)3
chromium-oxide,Cr2O3
citric-acid,C6H8O7
cobalt,Co
cobalt-carbonate,CoCO3
cobalt-chloride,CoCl2
cobalt-flouride,CoF
cobalt-hydroxide,Co(OH)2
cobalt-iodide,CoI2
cobalt-nitrate,Co(NO3)2
cobalt-oxide,CoO
cobalt-sulphate,CoSO4
copper-(II)oxide,CuO
copper-choride,CuCl
copper-fluoride,CuF
copper-hydroxide,CuOH
copper-iodide,CuI
copper-oxide,Cu2O
copper-sulphate,CuSO4
copper-sulphide,CuS
copper(I)-chloride,CuCl
dilithium,Li2
dinitrogen-pentoxide,N2O5
dinitrogen-tetroxide,N2O4
dinitrogen-trioxide,N2O3
Ethane,C2H6
ethanol,C2H5OH
ethene,C2H4
ferrous-sulfate,Fe2(SO4)3
ferrous-sulphide,FeS
glucose,C6H12O6
hydrazine,N2H4
hydrobromic-acid,HBr
hydrogen,H2
hydrogen-chloride,HCl
hydrogen-cynide,HCN
hydrogen-fluoride,HF
hydrogen-iodide,HI
hydrogen-peroxide,H2O2
hydrogen-sulfide,H2S
iron, Fe
iron-oxide,Fe2O3
iron-carbonate,FeCO3
Iron-hydroxide,Fe(OH)3
iron-hydroxide ,Fe(OH)2
iron-sulfate,FeSO4
lithium chloride,LiCl
lithium fluoride,LiF
lithium iodide,LiI
lithium nitride,Li3N
lithium oxide,Li2O
lithium peroxide,Li2O2
lithium-acetate,C2H3LiO2
lithium-bromide,LiBr
lithium-carbide,Li2C2
lithium-cyanide,LiCN
lithium-hydroxide,LiOH
lithium-nitrate,LiNO3
lithium-phosphate,Li3PO4
lithium-sulfide,Li2S
magnesium-bicarbonate,Mg(HCO3)
magnesium-chloride,MgCl2
magnesium-hydroxide,Mg(OH)2
magnesium-sulfate,MgSO4
magnesiun-carbonate,MgCO3
manganese-(III)-oxide,Mn2O3
manganese-oxide,MnO
methane,CH4
nickel,Ni
nickel-chloride,NiCl2
nickel-fluoride,NiF2
nickel-hydroxide,Ni(OH)2
nickel-oxide,NiO
nickel-sulphate,NiSO4
nitrate,NO3
nitric-acid,HNO3
nitrogen-dioxide,NO2
nitrogen-dioxode,N2
nitrogen-monoxide,NO
nitrogen-triiodide,NI3
nitrous-acid,HNO2
oxygen,O2
ozone,O3
phenolphthalein,C20H14O4
potassium-bromide,KBr
potassium-carbonate, K2CO3
potassium-chlorate,KClO3
potassium-chloride,KCl
potassium-dichromate,K2Cr2O7
potassium-hydroxide,KOH
potassium-iodide,KI
potassium-permagnate,KMnO4
potassium-sulfate,K2SO4
potassium-sulphate,K2SO4
Propane,C3H8
silver-nirtate,AgNO3
sodium ,Na
sodium-acetate,C2H3NaO2
sodium-bicarbonate,NaHCO3
sodium-bromide,NaBr
sodium-carbonate,Na2CO3
sodium-chloride,NaCl
sodium-fluoride,NaF
sodium-hydride,NaH
sodium-hydroxide,NaOH
sodium-iodide,NaI
sodium-nitrate,NaNO3
sodium-oxide,Na2O
sodium-sulfide,Na2S
sodium-sulphate,Na2SO4
sulfuric-acid, H2SO4
sulphur-dioxide,SO2
sulphur-trioxide,SO2
urea,CH4N2O
water,H2O
zinc-carbonate,ZnCO3
zinc-chloride,ZnCl2
zinc-hydroxide,Zn(OH)2
zinc-iodidie,ZnI2
zinc-nitrate,Zn(NO3)2
zinc-phosphate,Zn3(PO4)2
zinc-sulphate,ZnSO4
zinc-sulphide,ZnS
magnesium,Mg
magnesium-oxide,MgO
sodium,Na
chlorine,Cl2
zinc,Zn
sodium-bicarbonate,NaHCO3